Category,Key,Value,Extra,Comment
core,START,2025-03-01,,string (UTC date)
core,END,2025-05-05,,string (UTC date)
core,CHUNK,6h,,string (e.g. 6h / 1d)
core,DATA_DIR,data,,relative path for all CSVs
core,OUTPUTS_DIR,outputs,,relative path for artifacts
core,MINT,Hg8bKz4mvs8KNj9zew1cEF9tDw1x2GViB4RFZjVEmfrD,,
Program,DEXYosS6oEGvk8uCDayvwEZz4qEyDJRf9nFgYCaqPMTm,1Dex,,
Program,AMM55ShdkoGRB5jVYPjWziwk8m5MpwyDgsMWHaMSQWH6,Aldrin,,
Program,CURVGoZn8zycx6FXwwevgBTB2gVvdbGTEpvMJDbgs2t4,Aldrin,,
Program,SPoo1Ku8WFXoNDMHPsrGSTSG1Y47rzgn41SLUNakuHy,Blaze Stake,,
Program,BSwp6bEBihVLdqJRKGgzjcGLHkcTuzmSo1TQkHepzH8p,BonkSwap,,
Program,9tKE7Mbmj4mxDjWatikzGAtkoWosiiZX9y6J4Hfm2R8H,BPF,,
Program,REALQqNEomY6cQGZJUGwywTBD2UmDT32rZcNnfxQ5N2,Byreal,,
Program,CLMM9tUoggJu2wagPkkqs9eFG4BWhVBZWkP1qv3Sp7tR,Crema Finance,,
Program,H8W3ctz92svYg6mkn1UtGfu2aQr2fnUFHM1RhScEtQDt,Cropper,,
Program,DSwpgjMvXhtGn6BsbqmacdBZyfLj6jSWf3HJpdJtmg6N,Dexlab,,
Program,FLUXubRmkEi2q6K3Y9kBPg9248ggaZVsoSFhtJHSrm1X,Fluxbeam,,
Program,goonERTdGsjnkZqWuVjs73BZ3Pb9qoCUdBUL17BnS5j,GoonFi,,
Program,GAMMA7meSFWaBXF25oSUgmGRwaW6sCMFLmBNiMSdbHVT,GooseFX,,
Program,Gswppe6ERWKpUTXvRPfXdzHhiCyJvLadVvXGfdpBqcE1,Guac Swap,,
Program,9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp,HumidiFi,,
Program,HyaB3W9q6XdA5xwpU4XnSZV94htfmbmqJXZcEbRaJutt,Invariant,,
Program,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,Jupiter,,
Program,PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu,Jupiter,,
Program,2wT8Yq49kHgDzXuPxZSaeLaH1qbmGXtEyPy64bL7aD3c,Lifinity,,
Program,MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD,Marinade Finance,,
Program,MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,Mercurial,,
Program,BL3gDTCGrG9CNjHMmVG5bUxFuJeeZsvBmo4YpJsEuHf,Meteora,,
Program,24Uqj9JCLxUeoC3hGfh5W3s9FM9uCHDS2SG3LYwBpyTi,Meteora,,
Program,Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB,Meteora,,
Program,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,Meteora,,
Program,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,Meteora,,
Program,NUMERUNsFCP3kuNmWZuXtm1AaQCPj9uw6Guv2Ekoi5P,Numeraire,,
Program,obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y,Obric,,
Program,opnb2LAfJYbRMAHHvqjCwQxanZn7ReEHp1k81EohpZb,Openbook,,
Program,9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,Orca,,
Program,DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1,Orca,,
Program,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,Orca,,
Program,HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq,PancakeSwap,,
Program,PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY,Phoenix,,
Program,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,Pump.fun,,
Program,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,Pump.fun,,
Program,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,Raydium,,
Program,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Raydium,,
